experiment,timestamp,repo_url,repo_name,model_provider,model_name,model_label,temperature,seed,prompt_id,prompt_description,prompt_source_path,build_success,runtime_success,repetition,status,generation_success,generation_time,overall_score,dockerfile_score,k8s_score,runtime_score,docker_llm_score,k8s_llm_score,tool_calls,tokens_used,error_count,warning_count,info_count,has_errors,is_clean,dockerfile_syntax_valid,k8s_syntax_valid,run_id,workspace_dir,report_path
h3,2026-01-03T21:14:48.914977+00:00,https://github.com/sankeer28/Math-PDF-Generator-Web.git,math-pdf-generator-web,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,True,,0,completed,True,17.34446120262146,72.33333333333333,100.0,93.33333333333331,,,,6,23813,0,2,0,False,False,True,True,790288d9-3f5f-4fdb-9fb4-4a78bc402e00,/Users/rasztabigab/Studia/run/tmp/math-pdf-generator-web-790288d9-3f5f-4fdb-9fb4-4a78bc402e00,google_gemini_2-5_flash/base/math-pdf-generator-web/h3__gemini-2-5-flash__base__math-pdf-generator-web__run1_20260103_221532_b5e0ac72.json
h3,2026-01-03T21:15:32.760611+00:00,https://github.com/sankeer28/Math-PDF-Generator-Web.git,math-pdf-generator-web,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,True,,0,completed,True,18.540796995162964,75.0,100.0,99.99999999999999,,,,6,32786,0,0,0,False,True,True,True,3ac492e1-a8fb-4917-849a-c55da5ebef1f,/Users/rasztabigab/Studia/run/tmp/math-pdf-generator-web-3ac492e1-a8fb-4917-849a-c55da5ebef1f,google_gemini_2-5_flash/best_practices/math-pdf-generator-web/h3__gemini-2-5-flash__best_practices__math-pdf-generator-web__run1_20260103_221601_2f78673a.json
h3,2026-01-03T21:16:01.780279+00:00,https://github.com/sankeer28/Math-PDF-Generator-Web.git,math-pdf-generator-web,openai,gpt-5-mini,openai_gpt5_mini,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,True,,0,completed,True,62.80465912818909,72.33333333333333,100.0,93.33333333333331,,,,13,55124,0,2,0,False,False,True,True,b05664e3-7e31-4447-be3e-103757ee3df2,/Users/rasztabigab/Studia/run/tmp/math-pdf-generator-web-b05664e3-7e31-4447-be3e-103757ee3df2,openai_gpt5_mini/base/math-pdf-generator-web/h3__gpt-5-mini__base__math-pdf-generator-web__run1_20260103_221714_9290b7a2.json
h3,2026-01-03T21:17:14.747577+00:00,https://github.com/sankeer28/Math-PDF-Generator-Web.git,math-pdf-generator-web,openai,gpt-5-mini,openai_gpt5_mini,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,True,,0,completed,True,76.71322512626648,75.0,100.0,99.99999999999999,,,,14,72668,0,0,0,False,True,True,True,95a3f42d-e75c-40ff-9862-bb2a4cf50865,/Users/rasztabigab/Studia/run/tmp/math-pdf-generator-web-95a3f42d-e75c-40ff-9862-bb2a4cf50865,openai_gpt5_mini/best_practices/math-pdf-generator-web/h3__gpt-5-mini__best_practices__math-pdf-generator-web__run1_20260103_221845_9d1c686c.json
h3,2026-01-03T21:18:45.539065+00:00,https://github.com/sankeer28/Math-PDF-Generator-Web.git,math-pdf-generator-web,deepseek,deepseek-chat,deepseek_v3_2,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,True,,0,completed,True,118.96572589874268,72.33333333333333,100.0,93.33333333333331,,,,25,314776,0,2,0,False,False,True,True,b39da598-2cb0-4dcb-a9b3-ccdf31caec4c,/Users/rasztabigab/Studia/run/tmp/math-pdf-generator-web-b39da598-2cb0-4dcb-a9b3-ccdf31caec4c,deepseek_v3_2/base/math-pdf-generator-web/h3__deepseek-chat__base__math-pdf-generator-web__run1_20260103_222055_c71af014.json
h3,2026-01-03T21:20:56.156844+00:00,https://github.com/sankeer28/Math-PDF-Generator-Web.git,math-pdf-generator-web,deepseek,deepseek-chat,deepseek_v3_2,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,False,False,0,completed,True,117.19342303276062,0.0,0.0,,,,,20,200225,1,0,0,True,False,True,,9383fb6e-cb2a-4a74-8185-4f0c3da3ad8b,/Users/rasztabigab/Studia/run/tmp/math-pdf-generator-web-9383fb6e-cb2a-4a74-8185-4f0c3da3ad8b,deepseek_v3_2/best_practices/math-pdf-generator-web/h3__deepseek-chat__best_practices__math-pdf-generator-web__run1_20260103_222304_9d32e8e2.json
h3,2026-01-03T21:23:05.004479+00:00,https://github.com/patrick204nqh/simple-webapp.git,simple-webapp,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,False,False,0,completed,True,21.877531051635742,0.0,0.0,,,,,12,60264,1,1,1,True,False,True,,738ea436-9e74-4da0-8859-4a9195f29895,/Users/rasztabigab/Studia/run/tmp/simple-webapp-738ea436-9e74-4da0-8859-4a9195f29895,google_gemini_2-5_flash/base/simple-webapp/h3__gemini-2-5-flash__base__simple-webapp__run1_20260103_222343_8a41557e.json
h3,2026-01-03T21:23:43.554755+00:00,https://github.com/patrick204nqh/simple-webapp.git,simple-webapp,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,False,False,0,completed,True,23.602842092514038,0.0,0.0,,,,,9,56791,1,1,0,True,False,True,,41943dde-48c6-43f4-bc2c-1a3ee2cb4a67,/Users/rasztabigab/Studia/run/tmp/simple-webapp-41943dde-48c6-43f4-bc2c-1a3ee2cb4a67,google_gemini_2-5_flash/best_practices/simple-webapp/h3__gemini-2-5-flash__best_practices__simple-webapp__run1_20260103_222416_e94867b5.json
h3,2026-01-03T21:24:17.058961+00:00,https://github.com/patrick204nqh/simple-webapp.git,simple-webapp,openai,gpt-5-mini,openai_gpt5_mini,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,False,False,0,completed,True,139.94963097572327,0.0,0.0,,,,,32,319974,1,1,0,True,False,True,,1e4815a3-321f-4a2b-a11c-bd855ccb0a60,/Users/rasztabigab/Studia/run/tmp/simple-webapp-1e4815a3-321f-4a2b-a11c-bd855ccb0a60,openai_gpt5_mini/base/simple-webapp/h3__gpt-5-mini__base__simple-webapp__run1_20260103_222649_1a4335fd.json
h3,2026-01-03T21:26:50.162054+00:00,https://github.com/patrick204nqh/simple-webapp.git,simple-webapp,openai,gpt-5-mini,openai_gpt5_mini,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,False,False,0,failed,False,51.40501022338867,0,,,,,,0,,,,,,,,,,,openai_gpt5_mini/best_practices/simple-webapp/h3__gpt-5-mini__best_practices__simple-webapp__run1_20260103_222741_6f605823.json
h3,2026-01-03T21:27:41.974810+00:00,https://github.com/patrick204nqh/simple-webapp.git,simple-webapp,deepseek,deepseek-chat,deepseek_v3_2,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,True,,0,completed,True,178.8507101535797,66.3,98.0,79.99999999999999,,,,35,356616,0,7,1,False,False,True,True,eb4b10d2-9863-49c8-ac4a-ac2f6f003c50,/Users/rasztabigab/Studia/run/tmp/simple-webapp-eb4b10d2-9863-49c8-ac4a-ac2f6f003c50,deepseek_v3_2/base/simple-webapp/h3__deepseek-chat__base__simple-webapp__run1_20260103_223121_9146a8e5.json
h3,2026-01-03T21:31:22.061400+00:00,https://github.com/patrick204nqh/simple-webapp.git,simple-webapp,deepseek,deepseek-chat,deepseek_v3_2,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,False,False,0,completed,True,151.03922080993652,0.0,0.0,,,,,29,263517,1,0,1,True,False,True,,6fe07d3f-b057-48b5-bac0-abbf9ebe2304,/Users/rasztabigab/Studia/run/tmp/simple-webapp-6fe07d3f-b057-48b5-bac0-abbf9ebe2304,deepseek_v3_2/best_practices/simple-webapp/h3__deepseek-chat__best_practices__simple-webapp__run1_20260103_223408_22aae975.json
h3,2026-01-03T21:34:09.134515+00:00,https://github.com/IamLRBA/Banner-Designer-WebApp.git,banner-designer-webapp,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,True,,0,completed,True,15.661738157272339,72.33333333333333,100.0,93.33333333333331,,,,8,38313,0,2,0,False,False,True,True,aa53fe26-d3a5-4624-8fa9-31b96aef0597,/Users/rasztabigab/Studia/run/tmp/banner-designer-webapp-aa53fe26-d3a5-4624-8fa9-31b96aef0597,google_gemini_2-5_flash/base/banner-designer-webapp/h3__gemini-2-5-flash__base__banner-designer-webapp__run1_20260103_223450_462f63b6.json
h3,2026-01-03T21:34:50.775617+00:00,https://github.com/IamLRBA/Banner-Designer-WebApp.git,banner-designer-webapp,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,True,,0,completed,True,20.45897102355957,75.0,100.0,99.99999999999999,,,,8,28825,0,0,0,False,True,True,True,9c88055c-4c61-4c93-b270-ece2b6f05d43,/Users/rasztabigab/Studia/run/tmp/banner-designer-webapp-9c88055c-4c61-4c93-b270-ece2b6f05d43,google_gemini_2-5_flash/best_practices/banner-designer-webapp/h3__gemini-2-5-flash__best_practices__banner-designer-webapp__run1_20260103_223535_299ffe37.json
h3,2026-01-03T21:35:36.304490+00:00,https://github.com/IamLRBA/Banner-Designer-WebApp.git,banner-designer-webapp,openai,gpt-5-mini,openai_gpt5_mini,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,True,,0,completed,True,69.69720101356506,72.33333333333333,100.0,93.33333333333331,,,,14,62888,0,2,0,False,False,True,True,979b3cbe-c29f-44c4-a23e-86f4e2c412f1,/Users/rasztabigab/Studia/run/tmp/banner-designer-webapp-979b3cbe-c29f-44c4-a23e-86f4e2c412f1,openai_gpt5_mini/base/banner-designer-webapp/h3__gpt-5-mini__base__banner-designer-webapp__run1_20260103_223713_f7527920.json
h3,2026-01-03T21:37:14.311031+00:00,https://github.com/IamLRBA/Banner-Designer-WebApp.git,banner-designer-webapp,openai,gpt-5-mini,openai_gpt5_mini,1.0,,best_practices,Best-practices prompt,/Users/rasztabigab/Studia/run/prompts/best_practices.prompt,True,,0,completed,True,174.21412992477417,73.66666666666666,100.0,96.66666666666666,,,,28,191230,0,1,1,False,False,True,True,433b50e8-f5b3-403c-85aa-f485ff973dff,/Users/rasztabigab/Studia/run/tmp/banner-designer-webapp-433b50e8-f5b3-403c-85aa-f485ff973dff,openai_gpt5_mini/best_practices/banner-designer-webapp/h3__gpt-5-mini__best_practices__banner-designer-webapp__run1_20260103_224040_d2a7c10a.json
h3,2026-01-03T21:40:41.687220+00:00,https://github.com/IamLRBA/Banner-Designer-WebApp.git,banner-designer-webapp,deepseek,deepseek-chat,deepseek_v3_2,1.0,,base,Base prompt (same as H1),/Users/rasztabigab/Studia/run/prompts/default.prompt,False,False,0,completed,True,138.14877104759216,0.0,0.0,,,,,26,274606,1,0,0,True,False,True,,9c25fb0b-6e86-4756-8b63-de6318deeff2,/Users/rasztabigab/Studia/run/tmp/banner-designer-webapp-9c25fb0b-6e86-4756-8b63-de6318deeff2,deepseek_v3_2/base/banner-designer-webapp/h3__deepseek-chat__base__banner-designer-webapp__run1_20260103_224315_fb6a417c.json
